,Date,Open,High,Low,Close,Volume
0,2021-09-01 05:00:00,3461.58,3500.0,3456.01,3494.93,9047.28035523
1,2021-09-01 05:30:00,3494.82,3533.7,3484.71,3527.71,8276.65975144
2,2021-09-01 06:00:00,3527.36,3533.04,3511.17,3518.16,3858.78060667
3,2021-09-01 06:30:00,3518.09,3535.0,3508.03,3521.32,3805.68145497
4,2021-09-01 07:00:00,3521.33,3546.62,3520.78,3526.78,3909.25920371
5,2021-09-01 07:30:00,3526.77,3526.78,3499.34,3518.69,3016.91907319
6,2021-09-01 08:00:00,3518.64,3534.43,3514.86,3516.12,2824.83730531
7,2021-09-01 08:30:00,3516.11,3539.72,3514.85,3533.8,3473.99631904
8,2021-09-01 09:00:00,3533.79,3560.6,3532.94,3551.37,5382.49519891
9,2021-09-01 09:30:00,3551.08,3556.17,3526.74,3541.41,3339.3085718
10,2021-09-01 10:00:00,3541.41,3544.09,3523.81,3539.24,3210.58139685
11,2021-09-01 10:30:00,3539.24,3562.83,3536.86,3546.28,4018.22714677
12,2021-09-01 11:00:00,3546.05,3558.39,3538.79,3542.82,3840.50422403
13,2021-09-01 11:30:00,3542.82,3543.01,3512.85,3533.54,7297.92523065
14,2021-09-01 12:00:00,3534.14,3547.39,3520.5,3543.35,4671.65468665
15,2021-09-01 12:30:00,3543.35,3546.03,3533.88,3539.3,3226.65935123
16,2021-09-01 13:00:00,3539.53,3554.99,3520.5,3530.92,5042.32961523
17,2021-09-01 13:30:00,3530.92,3548.27,3530.91,3537.47,3161.9040928
18,2021-09-01 14:00:00,3537.47,3555.69,3535.26,3551.88,4370.56475696
19,2021-09-01 14:30:00,3551.88,3569.0,3531.5,3532.0,5708.68413539
20,2021-09-01 15:00:00,3532.13,3556.51,3531.99,3555.35,4108.03208535
21,2021-09-01 15:30:00,3554.69,3587.99,3548.65,3583.84,8510.69912103
22,2021-09-01 16:00:00,3583.58,3605.37,3580.2,3596.0,8990.60348742
23,2021-09-01 16:30:00,3595.42,3793.5,3593.0,3742.41,33396.58757289
24,2021-09-01 17:00:00,3742.42,3745.0,3704.72,3716.1,14640.03021087
25,2021-09-01 17:30:00,3715.61,3724.0,3683.87,3694.48,9987.46642942
26,2021-09-01 18:00:00,3694.48,3725.0,3694.1,3721.89,5256.43189197
27,2021-09-01 18:30:00,3721.88,3721.89,3691.23,3698.23,5295.83699893
28,2021-09-01 19:00:00,3698.23,3721.47,3697.85,3716.42,5247.41969378
29,2021-09-01 19:30:00,3716.44,3718.71,3694.26,3714.87,5678.40163454
30,2021-09-01 20:00:00,3714.87,3742.9,3711.49,3735.66,8004.04987273
31,2021-09-01 20:30:00,3735.95,3740.14,3720.84,3730.12,2993.97999976
32,2021-09-01 21:00:00,3730.12,3763.35,3719.37,3763.29,6162.15440165
33,2021-09-01 21:30:00,3763.28,3785.0,3748.0,3770.83,6363.08684227
34,2021-09-01 22:00:00,3770.83,3799.0,3766.85,3794.1,9101.49274796
35,2021-09-01 22:30:00,3794.1,3794.87,3754.08,3762.06,8352.345796
36,2021-09-01 23:00:00,3762.06,3790.4,3762.06,3787.01,5169.18129768
37,2021-09-01 23:30:00,3786.74,3843.12,3770.0,3829.39,7725.79524131
38,2021-09-02 00:00:00,3829.29,3838.28,3790.0,3794.18,11071.82702748
39,2021-09-02 00:30:00,3794.07,3800.93,3771.11,3779.84,5757.50354148
40,2021-09-02 01:00:00,3779.85,3787.96,3754.52,3785.54,10324.73123211
41,2021-09-02 01:30:00,3785.0,3804.29,3771.0,3773.6,8123.55390045
42,2021-09-02 02:00:00,3773.46,3783.29,3762.79,3767.01,5979.08163019
43,2021-09-02 02:30:00,3767.4,3778.83,3733.77,3743.91,6584.73091207
44,2021-09-02 03:00:00,3743.96,3769.16,3741.55,3752.51,5091.37633084
45,2021-09-02 03:30:00,3752.51,3771.15,3749.14,3765.04,4649.57886127
46,2021-09-02 04:00:00,3765.5,3770.9,3743.86,3747.38,3364.72644949
47,2021-09-02 04:30:00,3747.6,3767.56,3747.6,3760.53,2212.12492184
48,2021-09-02 05:00:00,3760.53,3770.88,3751.16,3757.25,2992.79276235
49,2021-09-02 05:30:00,3757.35,3769.42,3755.09,3759.0,4462.31172477
50,2021-09-02 06:00:00,3758.85,3769.18,3750.7,3758.36,4305.07840879
51,2021-09-02 06:30:00,3758.36,3758.36,3730.0,3754.8,3453.20474225
52,2021-09-02 07:00:00,3754.79,3771.28,3748.0,3749.91,2468.69735321
53,2021-09-02 07:30:00,3750.0,3753.07,3722.65,3735.55,2177.01351745
54,2021-09-02 08:00:00,3735.14,3755.97,3732.73,3754.43,2000.01913369
55,2021-09-02 08:30:00,3754.26,3757.27,3741.95,3748.83,1092.07036938
56,2021-09-02 09:00:00,3748.82,3754.57,3728.37,3728.82,1250.0151345
57,2021-09-02 09:30:00,3728.82,3746.04,3728.82,3741.1,1210.26394291
58,2021-09-02 10:00:00,3741.09,3744.13,3728.6,3742.8,1556.10192152
59,2021-09-02 10:30:00,3742.8,3766.91,3742.14,3761.96,3385.58881189
60,2021-09-02 11:00:00,3761.96,3762.01,3745.01,3753.97,2299.77682668
61,2021-09-02 11:30:00,3754.04,3769.05,3747.4,3762.67,1579.13538569
