,Date,Open,High,Low,Close,Volume,Date.1
1983,2020-06-01 00:00:00,230.66270446777344,232.9850006103516,230.4880523681641,232.9850006103516,25708544,2020-06-01 00:00:00
1984,2020-06-01 01:00:00,233.0184326171875,236.11575317382807,233.01177978515625,236.08978271484372,0,2020-06-01 01:00:00
1985,2020-06-01 02:00:00,236.12245178222656,238.6782073974609,236.0083465576172,237.7688751220703,1143561216,2020-06-01 02:00:00
1986,2020-06-01 03:00:00,237.9430084228516,238.3037109375,237.5413818359375,237.97146606445312,0,2020-06-01 03:00:00
1987,2020-06-01 04:00:00,238.12261962890625,240.619384765625,238.12261962890625,239.2642059326172,50046976,2020-06-01 04:00:00
1988,2020-06-01 05:00:00,239.55491638183597,239.55491638183597,237.8200225830078,237.8200225830078,0,2020-06-01 05:00:00
1989,2020-06-01 06:00:00,238.0899200439453,238.7984313964844,238.0402984619141,238.21823120117188,0,2020-06-01 06:00:00
1990,2020-06-01 07:00:00,238.21751403808597,238.98439025878903,237.97434997558597,238.4052276611328,0,2020-06-01 07:00:00
1991,2020-06-01 08:00:00,238.59765625,238.6411590576172,236.86447143554688,237.14309692382807,0,2020-06-01 08:00:00
1992,2020-06-01 09:00:00,237.31271362304688,238.1401824951172,237.11404418945312,237.11404418945312,0,2020-06-01 09:00:00
1993,2020-06-01 10:00:00,237.26287841796875,237.39047241210935,236.40191650390625,236.61056518554688,0,2020-06-01 10:00:00
1994,2020-06-01 11:00:00,236.7069396972656,236.99169921875,235.9429626464844,236.2050628662109,0,2020-06-01 11:00:00
1995,2020-06-01 12:00:00,236.2509613037109,238.90093994140625,235.3933563232422,238.55255126953125,203955200,2020-06-01 12:00:00
1996,2020-06-01 13:00:00,238.61880493164065,238.73538208007807,237.6499786376953,237.70046997070312,0,2020-06-01 13:00:00
1997,2020-06-01 14:00:00,237.70628356933597,238.94143676757807,237.6083831787109,238.1542053222656,0,2020-06-01 14:00:00
1998,2020-06-01 15:00:00,238.16439819335935,238.16439819335935,236.61900329589844,237.1252593994141,0,2020-06-01 15:00:00
1999,2020-06-01 16:00:00,237.4182281494141,238.44158935546875,237.40890502929688,238.14093017578125,589650944,2020-06-01 16:00:00
2000,2020-06-01 17:00:00,238.47213745117188,238.5329742431641,237.87408447265625,238.1151885986328,0,2020-06-01 17:00:00
2001,2020-06-01 18:00:00,238.2099151611328,238.2451171875,237.5389404296875,238.01138305664065,0,2020-06-01 18:00:00
2002,2020-06-01 19:00:00,238.17295837402344,238.3596343994141,237.2675018310547,237.2675018310547,0,2020-06-01 19:00:00
2003,2020-06-01 20:00:00,237.36705017089844,240.23095703125,236.7694549560547,240.18304443359372,216881152,2020-06-01 20:00:00
2004,2020-06-01 21:00:00,239.8987274169922,240.39947509765625,239.88037109375,240.21749877929688,0,2020-06-01 21:00:00
2005,2020-06-01 22:00:00,240.45346069335935,242.9571685791016,240.45346069335935,242.9571685791016,225911808,2020-06-01 22:00:00
2006,2020-06-02 00:00:00,247.2644195556641,247.7151031494141,246.0542755126953,247.16537475585935,152365056,2020-06-02 00:00:00
